iter	Passed	Remaining
0	140	140017
1	141	70473
2	142	47301
3	143	35706
4	144	28792
5	145	24164
6	147	20875
7	148	18372
8	149	16423
9	150	14864
10	151	13609
11	152	12567
12	153	11683
13	155	10920
14	156	10259
15	157	9672
16	158	9149
17	159	8682
18	160	8274
19	161	7903
20	162	7568
21	163	7264
22	164	6988
23	165	6726
24	166	6490
25	167	6282
26	168	6086
27	169	5899
28	170	5722
29	171	5554
30	172	5403
31	173	5257
32	174	5124
33	175	4999
34	176	4878
35	177	4760
36	179	4659
37	180	4571
38	181	4475
39	182	4388
40	183	4299
41	184	4214
42	185	4131
43	186	4058
44	187	3983
45	188	3914
46	189	3852
47	191	3792
48	192	3737
49	193	3683
50	195	3631
51	196	3577
52	197	3522
53	198	3469
54	199	3419
55	199	3369
56	200	3320
57	201	3274
58	202	3236
59	203	3192
60	204	3150
61	205	3109
62	206	3067
63	206	3026
64	207	2986
65	208	2951
66	209	2917
67	209	2877
68	210	2843
69	211	2813
70	212	2778
71	212	2744
72	213	2711
73	214	2679
74	214	2647
75	215	2617
76	215	2588
77	216	2561
78	217	2534
79	218	2507
80	218	2480
81	219	2454
82	219	2429
83	220	2405
84	220	2378
85	221	2355
86	222	2330
87	222	2308
88	223	2288
89	224	2268
90	225	2249
91	225	2228
92	226	2208
93	227	2188
94	227	2170
95	228	2151
96	229	2135
97	230	2118
98	230	2099
99	231	2081
100	231	2064
101	232	2044
102	232	2027
103	233	2010
104	233	1994
105	234	1977
106	235	1961
107	235	1946
108	236	1931
109	236	1916
110	237	1901
111	238	1890
112	239	1877
113	240	1865
114	240	1852
115	241	1841
116	242	1828
117	242	1815
118	243	1801
119	243	1789
120	244	1776
121	245	1764
122	245	1750
123	246	1738
124	246	1726
125	247	1714
126	247	1702
127	248	1690
128	248	1679
129	249	1668
130	249	1657
131	250	1647
132	251	1636
133	251	1626
134	252	1616
135	253	1607
136	254	1602
137	255	1593
138	255	1583
139	256	1574
140	256	1564
141	257	1555
142	258	1546
143	258	1538
144	259	1529
145	260	1521
146	260	1513
147	261	1505
148	262	1497
149	262	1489
150	263	1481
151	264	1474
152	264	1466
153	265	1458
154	266	1450
155	266	1443
156	267	1435
157	268	1429
158	269	1422
159	269	1416
160	270	1409
161	271	1402
162	271	1395
163	272	1388
164	272	1381
165	273	1374
166	274	1367
167	274	1360
168	275	1353
169	275	1346
170	276	1339
171	276	1333
172	277	1326
173	278	1320
174	278	1314
175	279	1307
176	279	1301
177	280	1295
178	281	1289
179	281	1283
180	281	1275
181	282	1269
182	283	1266
183	284	1261
184	285	1257
185	286	1252
186	286	1247
187	287	1241
188	288	1236
189	288	1231
190	289	1226
191	290	1221
192	290	1216
193	291	1211
194	292	1205
195	292	1200
196	293	1195
197	293	1190
198	294	1185
199	295	1180
200	295	1175
201	296	1170
202	296	1165
203	297	1160
204	297	1155
205	299	1152
206	300	1151
207	301	1147
208	301	1142
209	302	1139
210	303	1135
211	304	1131
212	305	1128
213	306	1124
214	306	1120
215	307	1116
216	308	1112
217	309	1108
218	309	1104
219	310	1101
220	311	1097
221	311	1093
222	312	1089
223	313	1087
224	314	1083
225	315	1080
226	316	1077
227	317	1073
228	317	1069
229	318	1066
230	319	1062
231	319	1059
232	320	1055
233	321	1051
234	321	1048
235	322	1044
236	323	1040
237	324	1037
238	324	1033
239	325	1030
240	326	1026
241	326	1023
